nodeID,Const
14,"content://sms"
16,"ContactsContract.CommonDataKinds.Phone.CONTENT_URI || ContactsContract$CommonDataKinds.Phone.CONTENT_URI"
17,"CallLog.Calls.CONTENT_URI || CallLog$Calls.CONTENT_URI"
48,"android.provider.Telephony.SMS_RECEIVED"
25,"android.intent.action.NEW_OUTGOING_CALL"
97,"android.intent.action.BOOT_COMPLETED"
26,"android.intent.action.USER_PRESENT"
98,"android.app.action.ADD_DEVICE_ADMIN & android.app.extra.DEVICE_ADMIN"
146,"android.settings.REQUEST_IGNORE_BATTERY_OPTIMIZE"
148,"camera"
152,"pm install -r"
153,"HEAD"
158,"android.intent.action.CALL"
160,"android.intent.action.PACKAGE_REPLACED"
