Operation,API,Parameters,Manifest,语义相似,,,,
Open and read file,"Ljava/io/File;-><init>(Ljava/io/File; Ljava/lang/String;)V
Ljava/io/File;->isFile()Z
Ljava/io/File;->exists()Z
Ljava/io/BufferedReader;-><init>(Ljava/io/Reader;)V
Ljava/io/BufferedReader;->readLine()Ljava/lang/String;
Ljava/io/BufferedReader;->close()V",,,,,,,
Write to the local file,"Ljava/io/FileOutputStream;-><init>(Ljava/io/File;)V
Landroid/database/Cursor;->moveToNext()Z
Landroid/database/Cursor;->getString(I)Ljava/lang/String;
Ljava/io/FileOutputStream;->write([B)V
Ljava/io/FileOutputStream;->close()V",,,,,,,
Get the external memory card file list information,"Ljava/io/File;-><init>(Ljava/lang/String;)V
Landroid/os/Environment;->getExternalStorageDirectory()Ljava/io/File;
Ljava/io/File;->getPath()Ljava/lang/String;",,,,,,,
Obtain Account information,Landroid/accounts/AccountManager;->getAccounts()[Landroid/accounts/Account;,,,,,,,
Get Mac address,"Landroid/content/Context;->getSystemService(Ljava/lang/String;)Ljava/lang/Object;
Landroid/net/wifi/WifiManager;->getConnectionInfo()Landroid/net/wifi/WifiInfo;
Landroid/net/wifi/WifiInfo;->getMacAddress()Ljava/lang/String;","Landroid/content/Context;->getSystemService(Ljava/lang/String;)Ljava/lang/Object; 参数为""wifi""",,,,,,
Get Wifi ID,"Landroid/content/Context;->getSystemService(Ljava/lang/String;)Ljava/lang/Object;
Landroid/net/wifi/WifiManager;->getConnectionInfo()Landroid/net/wifi/WifiInfo;
Landroid/net/wifi/WifiInfo;->getNetworkId()I",,,,,,,
Get local IP,"Landroid/content/Context;->getSystemService(Ljava/lang/String;)Ljava/lang/Object;
Landroid/net/wifi/WifiManager;->getConnectionInfo()Landroid/net/wifi/WifiInfo;
Landroid/net/wifi/WifiInfo;->getIpAddress()I
Landroid/text/format/Formatter;->formatIpAddress(I)Ljava/lang/String;",,,,,,,
Get Android OS (INCREMENTAL),android/os/Build$VERSION;->INCREMENTAL,,,,,,,
Get product name,android/os/Build;->PRODUCT,,,,,,,
Get device model,android/os/Build;->MODEL,,,,,,,
Get device manufacturer,android/os/Build;->MANUFACTURER,,,,,,,
Get device brand,android/os/Build;->BRAND,,,,,,,
Get device board,android/os/Build;->BOARD,,,,,,,
Get device name,android/os/Build;->DEVICE,,,,,,,
